file_extension,genre_type
"prc","model"
"gltf; glb","model"
"musicxml; xml","other"
"gltf; glb","model"
"ply","model"
"mei","text"
"xml","other"
"stl","model"
"stl","model"
"stl","model"
"obj","model"
"mtl","model"
"doc","text"
"xls","spreadsheet"
"ppt","presentation"
"xlsb","spreadsheet"
"oxps","text; still-image"
"xps","text; still-image"
"svg; svgz","still-image"
"","any"
"svg","still-image"
"webm","moving-image"
"","text"
"gpkg","dataset"
"cgm","still-image"
"pdf","still-image"
"psd; psb","still-image"
"jxr; wdp","still-image"
"heif; heifs; heic; heics; hif","still-image"
"heic; heics; hif","still-image"
"","moving-image"
"","moving-image"
"mov","moving-image"
"","moving-image"
"tar","aggregate"
"pdf","text"
"tsv; tab","dataset"
"mov","moving-image"
"Not applicable.","still-image"
"","database"
"jxl","still-image"
"7z; s7z","aggregate"
"","sound"
"","still-image; moving-image"
"jxs","still-image"
"kmz","dataset"
"wkt","dataset"
"wkb","dataset"
"json; b3dm; i3dm; pnts; cmpt","dataset"
"brf; bfm","text"
"ws; ws2; ws3; ws4; ws5; ws6; ws7; wsd","text"
"hbl","text"
"opml","text"
"xml; xml; opf; pdf; svg; jpg; png","text"
"3mf","model"
"","still-image; moving-image"
"jph","still-image; moving-image"
"parquet","dataset"
"xfdl; xfd; frm","text"
"cdx; cdxml","other"
"exr","moving-image"
"xml; json","aggregate"
"wacz","aggregate"
"xml","aggregate"
"bin; macbin","other"
"fasta; fas; fa; seq; fsa; fna; faa","database"
"frm","database"
"frm","database"
"",""
